season,round,pick,team,gsis_id,pfr_player_id,cfb_player_id,pfr_player_name,hof,position,category,side,college,age,to,allpro,probowls,seasons_started,w_av,car_av,dr_av,games,pass_completions,pass_attempts,pass_yards,pass_tds,pass_ints,rush_atts,rush_yards,rush_tds,receptions,rec_yards,rec_tds,def_solo_tackles,def_ints,def_sacks
2001,1,7,SFO,,CartAn20,andre-carter-1,Andre Carter,False,DE,DL,D,California,22.0,2013.0,0,1,10,59.0,,22.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,388.0,,80.5
2001,1,10,GNB,,ReynJa20,jamal-reynolds-1,Jamal Reynolds,False,DE,DL,D,Florida St.,22.0,2003.0,0,0,0,3.0,,3.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,,3.0
2001,1,12,STL,,LewiDa20,,Damione Lewis,False,DT,DL,D,Miami (FL),23.0,2010.0,0,0,3,32.0,,13.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,,23.5
2001,1,13,JAX,,StroMa01,,Marcus Stroud,False,DT,DL,D,Georgia,23.0,2010.0,0,3,9,67.0,,50.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,314.0,,29.5
2001,1,19,PIT,,HampCa00,casey-hampton-1,Casey Hampton,False,NT,DL,D,Texas,24.0,2012.0,0,5,11,73.0,,73.0,173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.0,,9.0
2001,1,29,STL,,PickRy20,,Ryan Pickett,False,DT,DL,D,Ohio St.,21.0,2014.0,0,0,13,58.0,,22.0,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,386.0,,9.5
2001,2,34,ARI,,VandKy99,,Kyle Vanden Bosch,False,DE,DL,D,Nebraska,22.0,2012.0,0,3,9,58.0,,7.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.0,,58.0
2001,2,44,CAR,,JenkKr00,,Kris Jenkins,False,DT,DL,D,Maryland,22.0,2010.0,2,4,6,68.0,,54.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,,24.0
2001,2,46,BUF,,SchoAa99,aaron-schobel-1,Aaron Schobel,False,DE,DL,D,TCU,24.0,2009.0,0,2,8,62.0,,62.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334.0,3.0,78.0
2001,2,51,DEN,,,paul-toviessi-1,Paul Toviessi,False,DE,DL,D,Marshall,,,0,0,0,,,,,,,,,,,,,,,,,,
2001,2,57,MIN,,HowaWi20,willie-howard-1,Willie Howard,False,DE,DL,D,Stanford,23.0,2001.0,0,0,0,1.0,,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,,
2001,2,61,DET,,RogeSh99,,Shaun Rogers,False,DT,DL,D,Texas,22.0,2013.0,0,3,8,57.0,,40.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,374.0,1.0,37.5
2001,3,63,PHI,,BurgDe99,derrick-burgess-1,Derrick Burgess,False,DE,DL,D,Mississippi,23.0,2010.0,0,2,4,40.0,,8.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.0,,52.0
2001,3,75,KAN,,DownEr20,,Eric Downing,False,DT,DL,D,Syracuse,22.0,2004.0,0,0,1,7.0,,7.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,,2.0
2001,3,76,BUF,,EdwaRo20,,Ron Edwards,False,DT,DL,D,Texas A&M,22.0,2012.0,0,0,6,37.0,,10.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,,16.5
2001,3,81,NOR,,SmitKe23,,Kenny Smith,False,DT,DL,D,Alabama,23.0,2009.0,0,0,1,7.0,,7.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,,4.5
2001,3,87,DEN,,HaywRe20,,Reggie Hayward,False,DE,DL,D,Iowa St.,22.0,2009.0,0,0,3,32.0,,13.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,1.0,39.5
2001,3,89,OAK,,GranDe20,delawrence-grant-1,DeLawrence Grant,False,DE,DL,D,Oregon St.,21.0,2005.0,0,0,2,12.0,,12.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,,7.0
2001,3,93,DAL,,BladWi20,,Willie Blade,False,DT,DL,D,Mississippi St.,22.0,2004.0,0,0,1,8.0,,7.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,,1.0
2001,4,114,NYG,,ScotCe20,cedric-scott-1,Cedric Scott,False,DE,DL,D,Southern Miss,23.0,2002.0,0,0,0,1.0,,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,,
2001,4,123,ARI,,BellMa20,marcus-bell-1,Marcus Bell,False,DT,DL,D,Memphis,22.0,2006.0,0,0,2,14.0,,8.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,,6.5
