season,round,pick,Team Abbr,gsis_id,pfr_player_id,cfb_player_id,pfr_player_name,hof,position,category,side,college,age,to,allpro,probowls,seasons_started,w_av,car_av,dr_av,games,pass_completions,pass_attempts,pass_yards,pass_tds,pass_ints,rush_atts,rush_yards,rush_tds,receptions,rec_yards,rec_tds,def_solo_tackles,def_ints,def_sacks
2002,1,15,TEN,,HaynAl20,,Albert Haynesworth,False,DT,DL,D,Tennessee,21.0,2011.0,2,2,7,55.0,,48.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262.0,,30.5
2002,1,22,NYJ,,ThomBr21,bryan-thomas-1,Bryan Thomas,False,DE,DL,D,Ala-Birmingham,23.0,2012.0,0,0,7,49.0,,49.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329.0,,33.5
2002,1,25,NO,,GranCh21,charles-grant-1,Charles Grant,False,DE,DL,D,Georgia,24.0,2009.0,0,0,7,46.0,,46.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335.0,1.0,47.0
2002,2,42,IND,,TripLa20,,Larry Tripplett,False,DT,DL,D,Washington,23.0,2007.0,0,0,4,27.0,,14.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,1.0,8.5
2002,2,52,BAL,,WeavAn20,anthony-weaver-1,Anthony Weaver,False,DE,DL,D,Notre Dame,22.0,2008.0,0,0,6,41.0,,28.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.0,3.0,15.5
2002,4,104,CHI,,BrowAl20,alex-brown-1,Alex Brown,False,DE,DL,D,Florida,23.0,2010.0,0,0,8,59.0,,54.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346.0,5.0,45.5
2002,5,139,BUF,,BannJu20,justin-bannan-1,Justin Bannan,False,DT,DL,D,Colorado,23.0,2013.0,0,0,4,36.0,,6.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,1.0,6.5
2002,5,146,SEA,,BernRo20,,Rocky Bernard,False,DT,DL,D,Texas A&M,23.0,2012.0,0,0,3,35.0,,29.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,,33.0
2002,5,147,OAK,,ColeKe20,,Kenyon Coleman,False,DE,DL,D,UCLA,23.0,2012.0,0,0,5,38.0,,0.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275.0,,13.5
2002,5,156,GB,,KampAa99,aaron-kampman-1,Aaron Kampman,False,DE,DL,D,Iowa,22.0,2011.0,0,2,7,55.0,,54.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,338.0,,58.0
2002,7,238,PHI,,BrocRa20,raheem-brock-1,Raheem Brock,False,DE,DL,D,Temple,24.0,2011.0,0,0,6,43.0,,,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269.0,,40.5
2002,7,242,PIT,,KeisBr20,,Brett Keisel,False,DE,DL,D,BYU,23.0,2014.0,0,1,8,58.0,,58.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.0,2.0,30.0
2003,1,4,NYJ,,RobeDe20,,Dewayne Robertson,False,DT,DL,D,Kentucky,21.0,2008.0,0,0,6,34.0,,31.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.0,,16.0
2003,1,9,MIN,,WillKe98,,Kevin Williams,False,DT,DL,D,Oklahoma St.,23.0,2015.0,5,6,12,102.0,,98.0,203.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.0,5.0,63.0
2003,1,13,NE,,WarrTy20,,Ty Warren,False,DE,DL,D,Texas A&M,22.0,2012.0,0,0,6,45.0,,45.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.0,,20.5
